n_objects,train_ratio,trial_id,rank,true_rank,rmse,seed
200,0.6,0,12,10,0.007464193809350716,65
200,0.6,1,8,10,0.01615031820114667,66
200,0.6,1,9,10,0.009123112086432555,66
200,0.6,1,10,10,0.00456668188520707,66
200,0.6,1,11,10,0.006008849873979557,66
200,0.6,1,12,10,0.008828871507973653,66
200,0.6,2,8,10,0.012503048756663429,67
200,0.6,2,9,10,0.008133218777711079,67
200,0.6,2,10,10,0.00678192799994856,67
200,0.6,2,11,10,0.0072362119855728475,67
200,0.6,2,12,10,0.009943052271873873,67
200,0.6,3,8,10,0.01271734572999867,68
200,0.6,3,9,10,0.007162997352203397,68
200,0.6,3,10,10,0.0037310160192190966,68
200,0.6,3,11,10,0.004946514366279147,68
200,0.6,3,12,10,0.007828044529615769,68
200,0.6,4,8,10,0.012963339348866473,69
200,0.6,4,9,10,0.008061024454044314,69
200,0.6,4,10,10,0.004591473258286685,69
200,0.6,4,11,10,0.005748639367868943,69
200,0.6,4,12,10,0.009594574993669365,69
200,0.65,0,8,10,0.009152046779251403,70
200,0.65,0,9,10,0.005350685000004569,70
200,0.65,0,10,10,0.00206376260990535,70
200,0.65,0,11,10,0.0033311719515524327,70
200,0.65,0,12,10,0.0046365350001386675,70
200,0.65,1,8,10,0.010219643781222231,71
200,0.65,1,9,10,0.004874975033010872,71
200,0.65,1,10,10,0.0012858183203455738,71
200,0.65,1,11,10,0.002517855566399849,71
200,0.65,1,12,10,0.004061923446479316,71
200,0.65,2,8,10,0.009477454403207086,72
200,0.65,2,9,10,0.005389836590564111,72
200,0.65,2,10,10,0.0013889712443013675,72
200,0.65,2,11,10,0.002589406414526425,72
200,0.65,2,12,10,0.0033579302039098403,72
200,0.65,3,8,10,0.010997572308198289,73
200,0.65,3,9,10,0.0059528371575254795,73
200,0.65,3,10,10,0.0011189852954629782,73
200,0.65,3,11,10,0.0019125517944280253,73
200,0.65,3,12,10,0.0025426131669202237,73
200,0.65,4,8,10,0.009379896815968859,74
200,0.65,4,9,10,0.005374591034929527,74
200,0.65,4,10,10,0.002746833054514662,74
200,0.65,4,11,10,0.004905991100960391,74
200,0.65,4,12,10,0.005571034091276297,74
200,0.7,0,8,10,0.009944807020785432,75
200,0.7,0,9,10,0.004916662049661525,75
200,0.7,0,10,10,0.0006840806068806283,75
200,0.7,0,11,10,0.0010217759112922465,75
200,0.7,0,12,10,0.001323294519280101,75
200,0.7,1,8,10,0.010814386444662823,76
200,0.7,1,9,10,0.005038192305984719,76
200,0.7,1,10,10,0.0006609159233097596,76
200,0.7,1,11,10,0.001232308261926336,76
200,0.7,1,12,10,0.0019305382774581043,76
200,0.7,2,8,10,0.009267157885611492,77
200,0.7,2,9,10,0.004296288374106564,77
200,0.7,2,10,10,0.0006021577667688588,77
200,0.7,2,11,10,0.0006783248360736581,77
200,0.7,2,12,10,0.0017105817093638243,77
200,0.7,3,8,10,0.00826011337439234,78
200,0.7,3,9,10,0.004377458750233163,78
200,0.7,3,10,10,0.0008948459281813174,78
200,0.7,3,11,10,0.0020678333576855438,78
200,0.7,3,12,10,0.0038320381623302355,78
200,0.7,4,8,10,0.00888126762273057,79
200,0.7,4,9,10,0.004260486184733059,79
200,0.7,4,10,10,0.0007260664029589762,79
200,0.7,4,11,10,0.0008581609827853542,79
200,0.7,4,12,10,0.0014090498645116583,79
200,0.75,0,8,10,0.011119467738835147,80
200,0.75,0,9,10,0.005433032625353977,80
200,0.75,0,10,10,0.0004333738672070884,80
200,0.75,0,11,10,0.0007103618142705867,80
200,0.75,0,12,10,0.0007866910958952959,80
200,0.75,1,8,10,0.009920642961677328,81
200,0.75,1,9,10,0.004087700249747417,81
200,0.75,1,10,10,0.0004633701410760797,81
200,0.75,1,11,10,0.0007183135382223918,81
200,0.75,1,12,10,0.0006348590939317867,81
200,0.75,2,8,10,0.00842958510522623,82
200,0.75,2,9,10,0.004089706474692853,82
200,0.75,2,10,10,0.00037807696689240233,82
200,0.75,2,11,10,0.000933438717068556,82
200,0.75,2,12,10,0.0012336362981770165,82
200,0.75,3,8,10,0.00852841911389699,83
200,0.75,3,9,10,0.004745303193724672,83
200,0.75,3,10,10,0.0009278241426987306,83
200,0.75,3,11,10,0.0009494434658511052,83
200,0.75,3,12,10,0.0015571938429382324,83
200,0.75,4,8,10,0.009576890864744867,84
200,0.75,4,9,10,0.005281769816023601,84
200,0.75,4,10,10,0.00046099626920785694,84
200,0.75,4,11,10,0.0003584605276710184,84
200,0.75,4,12,10,0.0013584244249787974,84
200,0.8,0,8,10,0.008842349650325317,85
200,0.8,0,9,10,0.0045486807289225675,85
200,0.8,0,10,10,0.0003422821506414836,85
200,0.8,0,11,10,0.0002712545870503805,85
200,0.8,0,12,10,0.00040340731311588353,85
200,0.8,1,8,10,0.009369685557332176,86
200,0.8,1,9,10,0.0038730849861450616,86
200,0.8,1,10,10,0.0004028443274644689,86
200,0.8,1,11,10,0.0006964961511632075,86
200,0.8,1,12,10,0.0011478937735755063,86
200,0.8,2,8,10,0.008430062339056067,87
200,0.8,2,9,10,0.004544303940322088,87
200,0.8,2,10,10,0.0003870704940712421,87
200,0.8,2,11,10,0.0004255132655629124,87
200,0.8,2,12,10,0.00043286207870248057,87
200,0.8,3,8,10,0.009782395146373168,88
200,0.8,3,9,10,0.005290512514870263,88
200,0.8,3,10,10,0.00036721799552232157,88
200,0.8,3,11,10,0.000282676331928145,88
200,0.8,3,12,10,0.00047779332857136023,88
200,0.8,4,8,10,0.009509588056981965,89
200,0.8,4,9,10,0.0044535824990020265,89
200,0.8,4,10,10,0.00038167786866473197,89
200,0.8,4,11,10,0.0002479104963188785,89
200,0.8,4,12,10,0.0008135691205093516,89
500,0.4,0,8,10,0.02962090494976515,90
500,0.4,0,9,10,0.02767246931192857,90
500,0.4,0,10,10,0.027598889562862224,90
500,0.4,0,11,10,0.02994760031750897,90
500,0.4,0,12,10,0.03263214914622272,90
500,0.4,1,8,10,0.02876553369907921,91
500,0.4,1,9,10,0.027299430576594463,91
500,0.4,1,10,10,0.025306555049156486,91
500,0.4,1,11,10,0.025365671465392453,91
500,0.4,1,12,10,0.0287847521681233,91
500,0.4,2,8,10,0.03194442731892065,92
500,0.4,2,9,10,0.02818335669115238,92
500,0.4,2,10,10,0.032262000075429856,92
500,0.4,2,11,10,0.028597942718457472,92
500,0.4,2,12,10,0.03080004363814103,92
500,0.4,3,8,10,0.03282829266486844,93
500,0.4,3,9,10,0.031062713627926137,93
500,0.4,3,10,10,0.03291917425353371,93
500,0.4,3,11,10,0.035001560483692885,93
500,0.4,3,12,10,0.03753339216274601,93
500,0.4,4,8,10,0.03172143691076908,94
500,0.4,4,9,10,0.034136827414439117,94
500,0.4,4,10,10,0.03508040817837082,94
500,0.4,4,11,10,0.03756291594701046,94
500,0.4,4,12,10,0.0396619157847559,94
500,0.45,0,8,10,0.017729996284794176,95
500,0.45,0,9,10,0.013300321333063414,95
500,0.45,0,10,10,0.009871469273411365,95
500,0.45,0,11,10,0.012076157351349296,95
